TeamName,TeamKey
Arsenal,1
Aston Villa,2
Barnsley,3
Birmingham,4
Blackburn,5
Blackpool,6
Bolton,7
Bournemouth,8
Bradford,9
Brentford,10
Brighton,11
Burnley,12
Cardiff,13
Charlton,14
Chelsea,15
Coventry,16
Crystal Palace,17
Derby,18
Everton,19
Fulham,20
Huddersfield,21
Hull,22
Ipswich,23
Leeds,24
Leicester,25
Liverpool,26
Luton,27
Man City,28
Man United,29
Middlesbrough,30
Newcastle,31
Norwich,32
Nott'm Forest,33
Oldham,34
Portsmouth,35
QPR,36
Reading,37
Sheffield United,38
Sheffield Weds,39
Southampton,40
Stoke,41
Sunderland,42
Swansea,43
Swindon,44
Tottenham,45
Watford,46
West Brom,47
West Ham,48
Wigan,49
Wimbledon,50
Wolves,51
